PSD_0.0Hz,PSD_25.0Hz,PSD_50.0Hz,Emotion
64.02666667,87.49666667,23.20666667,Happy
513.375,765.8541667,250.9066667,Happy
17.68166667,858.1933333,837.8016667,Happy
1042.801667,1149.483333,106.6816667,Happy
116.16,2602.490833,2484.735,Happy
788.9066667,1023.804167,234.375,Happy
74.90666667,115.6566667,39.52666667,Happy
94.40666667,188.8133333,94.40666667,Happy
196.0816667,201.0741667,4.506666667,Happy
339.0016667,1995.683333,1656.681667,Happy
6.826666667,77.79083333,71.415,Happy
793.5,846.5708333,52.215,Happy
9.626666667,17.80416667,7.935,Happy
537.7066667,1474.603333,937.5,Happy
551.0416667,881.0833333,330.0416667,Happy
570.375,724.4866667,155.0416667,Happy
280.1666667,1944.87,1666.666667,Happy
665.7066667,2667.733333,2002.026667,Happy
303.8816667,346.9133333,41.08166667,Happy
1101.615,2110.480833,1008.806667,Happy
330.0416667,337.5233333,7.481666667,Happy
170.6666667,2901.333333,2730.666667,Happy
766.14,1115.746667,349.6066667,Happy
864.0,896.6666667,32.66666667,Happy
1096.201667,2334.694167,1238.406667,Happy
75.615,966.2166667,890.6016667,Happy
1085.415,1468.913333,382.4016667,Happy
1085.415,2624.616667,1539.201667,Happy
1181.606667,3147.266667,1965.66,Happy
457.6266667,884.4166667,426.7266667,Happy
53.40166667,733.9366667,680.535,Happy
1513.681667,2789.723333,1276.041667,Happy
357.2816667,2300.254167,1944.0,Happy
69.36,282.0308333,212.415,Happy
3.375,44.12083333,40.56,Happy
40.04166667,471.8433333,431.8016667,Happy
590.0416667,1638.123333,1048.081667,Happy
198.375,780.9208333,584.1066667,Happy
604.0066667,1310.424167,706.335,Happy
331.5266667,1656.15,1326.106667,Happy
504.1666667,706.6833333,201.84,Happy
0.006666667,1717.056667,1720.426667,Happy
895.4816667,1840.433333,945.015,Happy
37.5,214.6266667,177.1266667,Happy
524.535,1742.91,1218.375,Happy
128.8066667,893.6166667,761.6266667,Happy
4.166666667,32.33333333,28.16666667,Happy
376.0416667,428.46,54.60166667,Happy
30.82666667,31.06666667,0.24,Happy
1167.615,2473.153333,1305.375,Happy
212.415,3272.456667,3060.041667,Happy
632.4266667,1181.696667,549.1266667,Happy
14.415,164.7266667,151.0016667,Happy
166.4266667,176.9641667,9.881666667,Happy
120.6016667,126.4033333,5.801666667,Happy
23.60166667,675.4875,653.1266667,Happy
318.2816667,911.7666667,594.015,Happy
14.72666667,1173.986667,1159.26,Happy
25.62666667,1231.004167,1207.001667,Happy
513.375,2901.39,2388.015,Happy
92.04166667,170.5541667,77.76,Happy
16.00666667,1784.173333,1768.166667,Happy
572.3266667,1911.39,1338.026667,Happy
114.4066667,1787.746667,1673.34,Happy
16.00666667,1043.376667,1024.426667,Happy
112.6666667,124.4166667,12.32666667,Happy
1244.16,2970.856667,1727.206667,Happy
58.90666667,1076.4975,1016.601667,Happy
1485.226667,2283.333333,798.1066667,Happy
158.1066667,2731.630833,2575.081667,Happy
524.535,3314.040833,2790.726667,Happy
0.806666667,332.3333333,331.5266667,Happy
6.0,203.2266667,197.2266667,Happy
193.8016667,225.6675,32.66666667,Happy
1139.881667,3379.793333,2238.801667,Happy
515.2266667,521.2266667,6.0,Happy
167.4816667,2720.354167,2554.406667,Happy
1.401666667,299.6166667,298.215,Happy
6.826666667,18.58666667,11.76,Happy
321.2016667,478.7266667,157.0816667,Happy
238.14,1902.510833,1663.335,Happy
98.415,134.1133333,37.00166667,Happy
43.74,1225.346667,1181.606667,Happy
0.001666667,956.3475,957.6066667,Happy
9.126666667,13.98666667,4.86,Happy
1656.681667,3930.674167,2273.706667,Happy
489.6066667,593.7733333,104.1666667,Happy
30.82666667,367.2833333,337.5,Happy
459.375,932.8333333,473.4816667,Happy
21.28166667,1135.314167,1115.206667,Happy
610.0416667,689.82,77.04166667,Happy
1.926666667,10.69666667,8.64,Happy
264.0066667,569.2641667,303.8816667,Happy
235.6266667,532.3575,295.4016667,Happy
752.64,1395.290833,642.735,Happy
398.535,1473.216667,1074.681667,Happy
428.415,1530.03,1101.615,Happy
107.5266667,366.2533333,258.7266667,Happy
118.815,1063.83,945.015,Happy
126.96,2056.586667,1929.626667,Happy
0.026666667,217.2166667,218.4066667,Happy
21.66,615.2966667,592.0266667,Happy
1064.001667,1646.833333,582.135,Happy
455.8816667,1413.880833,957.6066667,Happy
151.0016667,606.5141667,454.14,Happy
340.5066667,645.8133333,305.3066667,Happy
462.8816667,465.8608333,2.16,Happy
0.24,1165.066667,1164.826667,Happy
47.04,591.0033333,541.5,Happy
1.306666667,771.9733333,770.6666667,Happy
187.0416667,834.8866667,651.0416667,Happy
204.1666667,824.3333333,620.1666667,Happy
757.1266667,2825.453333,2068.326667,Happy
452.4016667,468.2466667,13.80166667,Happy
201.84,378.8966667,177.1266667,Happy
1027.041667,1226.886667,198.375,Happy
136.3266667,579.7041667,442.0416667,Happy
354.2016667,3052.194167,2696.64,Happy
75.615,136.4166667,60.80166667,Happy
426.7266667,2231.176667,1802.666667,Happy
469.935,3443.420833,2974.826667,Happy
717.2266667,4380.523333,3660.54,Happy
48.16666667,47.68333333,0.106666667,Happy
1069.335,1161.713333,90.48166667,Happy
210.0416667,347.1,137.2816667,Happy
0.201666667,37.74,38.00166667,Happy
23.20666667,1264.096667,1244.16,Happy
92.82666667,1018.656667,927.5266667,Happy
289.815,569.9941667,280.1666667,Happy
111.8016667,411.1541667,299.6266667,Happy
1112.481667,2121.354167,1008.806667,Happy
48.16666667,68.33333333,20.16666667,Happy
193.8016667,1969.98,1778.481667,Happy
578.2016667,1918.193333,1341.015,Happy
466.4016667,3407.040833,2939.306667,Happy
770.6666667,840.0266667,69.36,Happy
187.0416667,217.4166667,30.375,Happy
0.281666667,449.2166667,448.935,Happy
61.44,2820.230833,2760.615,Happy
475.26,648.7766667,170.6666667,Happy
1137.126667,2161.696667,1024.426667,Happy
428.415,850.1133333,421.6816667,Happy
14.415,737.2741667,721.6066667,Happy
7.706666667,1152.883333,1148.166667,Happy
29.92666667,987.5333333,957.6066667,Happy
2.535,1503.536667,1501.001667,Happy
4.86,24.12333333,19.44,Happy
1.601666667,537.4166667,535.815,Happy
528.2816667,1217.1,689.0816667,Happy
821.34,848.3441667,26.04166667,Happy
1.601666667,457.4833333,455.8816667,Happy
83.62666667,1772.963333,1686.726667,Happy
704.1666667,3581.826667,2877.66,Happy
31.74,1235.906667,1204.166667,Happy
91.26,235.32,144.06,Happy
861.6016667,1102.14,239.4016667,Happy
741.4816667,822.8833333,81.40166667,Happy
522.6666667,523.6266667,0.96,Happy
430.1066667,448.1366667,16.00666667,Happy
620.1666667,934.0933333,313.9266667,Happy
0.735,336.7366667,336.0016667,Happy
197.2266667,741.7766667,541.5,Happy
57.04166667,257.7233333,200.6816667,Happy
1.306666667,165.0641667,163.2816667,Happy
333.015,887.8966667,554.8816667,Happy
398.535,404.3366667,5.801666667,Happy
669.9266667,671.8533333,1.926666667,Happy
366.6016667,1316.643333,950.0416667,Happy
413.34,977.88,564.54,Happy
10.40166667,1058.483333,1048.081667,Happy
517.0816667,518.8875,2.666666667,Happy
819.0016667,1405.446667,586.0816667,Happy
230.64,296.5633333,65.34,Happy
96.0,2127.36,2031.36,Happy
1156.481667,1906.883333,750.4016667,Happy
372.8816667,419.4733333,47.60166667,Happy
220.8266667,869.7866667,648.96,Happy
164.3266667,387.5866667,223.26,Happy
930.015,1026.913333,95.20166667,Happy
50.46,1533.123333,1485.226667,Happy
468.1666667,961.35,493.2266667,Happy
276.0816667,1768.966667,1494.681667,Happy
200.6816667,976.4475,775.2066667,Happy
5.226666667,1770.15,1768.166667,Happy
62.72666667,1255.586667,1192.86,Happy
52.80666667,1361.133333,1308.326667,Happy
319.74,1519.616667,1198.506667,Happy
2.16,336.6666667,334.5066667,Happy
171.735,964.6208333,793.5,Happy
79.20666667,491.6166667,410.0266667,Happy
4.166666667,657.2933333,653.1266667,Happy
445.4816667,1740.3,1293.601667,Happy
418.335,1921.754167,1504.166667,Happy
161.2016667,161.9366667,0.735,Happy
835.44,4076.456667,3238.726667,Happy
743.7066667,2078.370833,1335.041667,Happy
471.7066667,638.1333333,166.4266667,Happy
405.0816667,409.4166667,4.335,Happy
295.4016667,655.9266667,360.375,Happy
777.4816667,1719.874167,942.5066667,Happy
133.4816667,1880.166667,1744.215,Happy
346.56,587.2266667,240.6666667,Happy
380.8066667,515.8833333,134.4266667,Happy
306.735,3182.920833,2877.66,Happy
628.3266667,4197.024167,3567.281667,Happy
58.28166667,570.4208333,511.5266667,Happy
130.6666667,1013.973333,883.3066667,Happy
15.68166667,1291.723333,1276.041667,Happy
562.6016667,678.2341667,116.16,Happy
276.0816667,867.7941667,592.0266667,Happy
1.706666667,1.704166667,0.041666667,Happy
13.80166667,2023.446667,2013.001667,Happy
387.2066667,388.6441667,0.601666667,Happy
153.015,710.8333333,554.8816667,Happy
181.5,1073.203333,893.04,Happy
1131.626667,2689.870833,1558.481667,Happy
406.7266667,2300.653333,1893.926667,Happy
1587.626667,3885.416667,2297.126667,Happy
198.375,2416.753333,2215.681667,Happy
87.40166667,137.1,51.04166667,Happy
41.60666667,1338.146667,1296.54,Happy
1435.306667,2467.824167,1032.281667,Happy
174.96,198.5108333,22.815,Happy
151.0016667,178.1741667,26.46,Happy
58.28166667,454.5666667,395.2816667,Happy
403.44,1628.130833,1224.081667,Happy
351.135,351.9341667,0.026666667,Happy
57.04166667,91.95333333,35.04166667,Happy
10.66666667,563.6266667,552.96,Happy
1098.906667,2752.266667,1653.36,Happy
447.2066667,1335.373333,888.1666667,Happy
859.2066667,2043.830833,1184.415,Happy
214.8016667,307.26,90.48166667,Happy
244.4816667,466.4941667,223.26,Happy
253.5,729.2433333,478.8266667,Happy
244.4816667,1724.354167,1478.94,Happy
3.081666667,166.3633333,163.2816667,Happy
261.36,2054.963333,1795.74,Happy
82.14,2608.483333,2529.706667,Happy
