Time,POz,Oz,P3,P4,O1,O2
2360,34.961774224524554,27.12133354237453,23.92366656530382,16.27660073523747,28.51195581182544,28.8304892842398
2364,34.51001371558789,26.894593089699065,23.602585796810562,16.11195809425311,28.31154987037114,28.35967345992796
2368,34.032908116306615,26.702990461696196,23.263298842394804,15.95804602723817,28.172785525933488,27.90902083687515
2372,33.53783784238453,26.54819904329542,22.913170218996946,15.81583151363435,28.08481516891648,27.486942648586375
2376,33.0327053976616,26.429993886286084,22.55837604761064,15.686880258353268,28.034519118592627,27.10086236355093
2380,32.52527411107648,26.346097539929605,22.203485186866054,15.572545313643024,28.00695375758057,26.756675481224278
2384,32.022681345130884,26.292319077850003,21.85140397198008,15.473327350985942,27.985997647790157,26.458381383449236
2388,31.531202042013888,26.26298060679644,21.503673118883523,15.388544779271719,27.955210366063106,26.207917954056896
2392,31.056096015488002,26.251388423826555,21.160861229596282,15.31618885269041,27.89871106441078,26.005069920335593
2396,30.601350080192912,26.25011106310198,20.822827539306562,15.252829861139826,27.801908067412125,25.847370391329132
2400,30.16935156735348,26.251080801131952,20.488888984470705,15.193650200948957,27.652114891649664,25.730103940507522
2404,29.76070604801301,26.24572526957586,20.158080420733647,15.13277491873863,27.43917928297602,25.646584839461276
2408,29.374314149088303,26.2252435189482,19.829553423379274,15.0638836587611,27.156109176651334,25.58872403671495
2412,29.007596424246632,26.1809290960153,19.502929150927635,14.980852950266376,26.799515648247425,25.547710268770246
2416,28.656717601705886,26.104423425575053,19.178424565628976,14.878208484751008,26.36975457474528,25.51464225116643
2420,28.31685768390708,25.987977238759992,18.856804431393485,14.751423085382413,25.870866641594922,25.48110929858983
2424,27.98271321884475,25.824903722451086,18.539353147624812,14.59723558392859,25.310490281751022,25.439777029804024
2428,27.649268026990665,25.610232278410127,18.227921765058632,14.414017800369152,24.699742160621117,25.38490729811594
2432,27.31261516158638,25.34131918835545,17.92489295924436,14.202010386137145,24.05286868481267,25.312632743927107
2436,26.970564252096878,25.01816751312507,17.63292776644273,13.963283580375075,23.386541917448803,25.220917630848053
2440,26.622974563187956,24.643458683965317,17.35458974396985,13.70151068152233,22.71893072632051,25.109365669597796
2444,26.27193190023726,24.222482100960764,17.092065929171802,13.421747372064388,22.068798043110643,24.979096827021383
2448,25.92181500058964,23.763049856061347,16.8470448344054,13.130236004334947,21.454715541662956,24.832721055777135
2452,25.57910796093779,23.27526911426621,16.62058155827535,12.834037370395738,20.894274625727462,24.674226180104142
2456,25.251809453008125,22.771027901379444,16.412793511084285,12.540348429153717,20.403190977903183,24.50862828682834
2460,24.948510576904997,22.26325635875232,16.222473713916365,12.25565038191164,19.994404650593598,24.34144401564022
2464,24.67738151300859,21.765162505422808,16.046855912693204,11.98499013408499,19.677368532729087,24.17814573906731
2468,24.44521829527874,21.289521250381863,15.881630725044284,11.731542892359116,19.457567255368613,24.023642152251433
2472,24.256523943025154,20.847909471680484,15.721105879345904,11.496372873866715,19.33614147425568,23.881704721874105
2476,24.11263140565936,20.44982729551812,15.558427743741364,11.278324459861226,19.30956452178488,23.754356902603124
2480,24.011102581829114,20.1018953366996,15.385989939352656,11.074184889706386,19.369545176449513,23.641455231531225
2484,23.945724205911812,19.807431620791064,15.196210407175203,10.8793100800375,19.50339189916257,23.540720586638756
2488,23.907174697100814,19.566506824810496,14.982608190782548,10.688647387327839,19.694854543064555,23.44823921562191
2492,23.884085905785774,19.376284260748623,14.740821418994667,10.4977982833332,19.925214847393338,23.359203470082655
2496,23.864139726480804,19.231414825875497,14.469225767376372,10.303781391864106,20.17441409326453,23.268666347645794
2500,23.83506167590057,19.12447635523293,14.169110107229955,10.10544134497102,20.42221848744451,23.17226907431017
2504,23.785577279524496,19.04659030930193,13.844582825088125,9.903641966333561,20.64950841240435,23.06697509195034
2508,23.70633774008892,18.988215209704123,13.502309052866984,9.701289432885302,20.83960937530943,22.951712261220585
2512,23.590653329012788,18.939906946549463,13.151016441822252,9.503068596617299,20.979402604818635,22.82771405539999
2516,23.434904376791348,18.89286344452643,12.800751816666041,9.314841839832829,21.060028639031877,22.698470661011672
2520,23.23873257611759,18.83931341691135,12.462083206165596,9.142900786381961,21.077243192206677,22.569438018641133
2524,23.00523046204715,18.772937248874225,12.145504492354558,8.993347181155974,21.031585143805177,22.4477174359868
2528,22.74115448157943,18.689343851765166,11.861077734664798,8.871676854998661,20.92836180381153,22.341738797436726
2532,22.45690276707871,18.586388843770436,11.61809563836045,8.782408115154603,20.777286608892528,22.260801136839973
2536,22.165969807054946,18.464126505949377,11.424577226614636,8.728632707167622,20.591675565524138,22.21438094701029
2540,21.883850290119717,18.324434725751722,11.286675377189479,8.711606557448818,20.387346164886175,22.211325915838245
2544,21.626606673875237,18.17052127518498,11.208227025781278,8.730596491156836,20.18146399501479,22.259125774719962
2548,21.40930625066553,18.00641780654396,11.19053513337956,8.783010288720444,19.99143375372999,22.363303260663198
2552,21.24440619668128,17.836387702201797,11.23226109209856,8.864613978713532,19.83376510694942,22.52682381223226
2556,21.140195034640943,17.664215110756523,11.329334106642998,8.96968592093539,19.722911487719834,22.749502033923847
2560,21.09958727519589,17.49257504678111,11.475004257885159,9.091200658959849,19.670291621257093,23.027584652294514
2564,21.119623509426642,17.322774830629577,11.660241600257063,9.22122860082632,19.683744808821643,23.353727441610264
2568,21.191781453065783,17.154932990910403,11.874461337285235,9.351541664226549,19.76743828158455,23.717379795398482
2572,21.302871911799524,16.98836587931536,12.106291153179138,9.474192741485469,19.921996147112147,24.105386130476592
2576,21.436217799901645,16.821927694888583,12.344119770751968,9.581888908230926,20.144636455869097,24.502647283011136
2580,21.57301439081908,16.654285834538687,12.5764364305367,9.668232409512639,20.42932448334515,24.89287683449177
2584,21.69392616740957,16.484272062661862,12.792139731670291,9.72801572378392,20.76706710719961,25.259552349689855
2588,21.780867118107373,16.311328905920206,12.980876687535426,9.757585194784138,21.14635348947439,25.5870069163956
2592,21.81870414516979,16.135869697251977,13.13328739950073,9.75508649971521,21.553605486438023,25.861455872856116
2596,21.796624242364498,15.959397549929552,13.241074311543334,9.720467851483551,21.973573001519856,26.071822187958375
2600,21.709120775280784,15.784457173490887,13.297036246137862,9.655358452229011,22.389800687009647,26.21040472462517
2604,21.556680702421822,15.614597744586481,13.295280214002368,9.563013920620097,22.785311210913214,26.273449946298296
2608,21.346119747853816,15.454347942657602,13.231615926999645,9.448311028268625,23.143436575996784,26.261499998231088
2612,21.090324276293384,15.308994404213529,13.103909869066918,9.317564263644327,23.448559065299165,26.179271527491657
2616,20.8072223221331,15.184027806949967,12.912230624621714,9.17802034941716,23.686633853598046,26.03498161953668
2620,20.518107630989277,15.084418357515059,12.658883085160799,9.037168736282853,23.84562438419862,25.839331442317352
2624,20.24566149485722,15.01404000134855,12.348545824840832,8.902131400085398,23.916059787568702,25.604464066621336
2628,20.011953067810875,14.975390609258305,11.988525426868648,8.779223837852173,23.891724746239312,25.343048302186336
2632,19.836513466243833,14.969485315049758,11.588882056659669,8.673567714321438,23.770270797151177,25.06744917424308
2636,19.734556102101898,14.995767634934204,11.162203567372625,8.588678264840254,23.553556144747425,24.788958843556664
2640,19.715558016357583,15.052077930227016,10.723071880593068,8.526165721781302,23.24770610376419,24.517193840729337
2644,19.782455402202714,15.134817516952335,10.287417056318764,8.485740735869769,22.86295362761348,24.25975944459891
2648,19.931500440564534,15.239276899275415,9.871815387062865,8.465488638914303,22.41318921202117,24.022098199427486
2652,20.15258107486072,15.359883907834524,9.492597543810236,8.462159129300797,21.91506588665112,23.807321370982493
2656,20.42980108804998,15.490184102451172,9.164696945812333,8.471295345764535,21.386680699995456,23.615956637489003
2660,20.74232905406358,15.622655177725354,8.90043042555042,8.487301285637095,20.84614508560707,23.445790010984574
2664,21.065646295492034,15.748633621107624,8.708523524498903,8.503664919472454,20.310430202806895,23.292038229443175
2668,21.373177755601493,15.85850188001945,8.593515938949894,8.513375627578311,19.79464445305473,23.147894372097813
2672,21.638066537818,15.94205766059515,8.555449340698278,8.509356098194836,19.3116427443403,23.005292261152544
2676,21.834851509746564,15.988971742809252,8.589752182172345,8.484771756356924,18.87184835935366,22.85575898404238
2680,21.941017160105027,15.989408949779204,8.687437044800957,8.433310567046757,18.483302286129028,22.6913668463352
2684,21.938496796986687,15.934924735873455,8.835781099244409,8.349598409342006,18.15195162175535,22.505784699638227
2688,21.81505084688545,15.819519095511001,9.019430855636374,8.229708299474337,17.881992775349225,22.295230220913556
2692,21.565223433873822,15.640484078456565,9.22161828737817,8.071511553918226,17.67597289968606,22.059009899744584
2696,21.190616913967833,15.398733882569077,9.42520757897656,7.874695404006595,17.53454030052809,21.799500701585895
2700,20.699507909052063,15.098609836579765,9.613556829021398,7.640544529224963,17.456055457563846,21.52172019005307
2704,20.10603822906585,14.74736105087951,9.771335277474558,7.371712239816273,17.43638096355198,21.2327385208684
2708,19.42914153454223,14.354423816761555,9.885313288030028,7.072056864342716,17.46897371763145,20.941039491193745
2712,18.69118714238804,13.930459770836658,9.944959098464945,6.746432388151064,17.545174615949474,20.655785131609512
2716,17.916340647304384,13.486163127484936,9.942722512886078,6.400370924843745,17.6545915654362,20.385992777179634
2720,17.128856719612802,13.0310803396976,9.874107298341404,6.0397931326839185,17.785619871934852,20.139787077689242
2724,16.351624926361495,12.572778895208446,9.737714663020174,5.67091200551195,17.92615619235431,19.923880376159328
2728,15.605112063936105,12.116499816044415,9.535260255307985,5.300270430604515,18.064375076858244,19.743238886804313
2732,14.906600869379337,11.665168783241384,9.271382772446247,4.934663444158777,18.189313116823243,19.600772547173104
2736,14.269618896847378,11.219625985991573,8.953147664699822,4.580810119223951,18.29116019639037,19.49702308465166
2740,13.703648471480369,10.779116204414063,8.589407891506784,4.24492883565701,18.361435837907347,19.43004827071328
2744,13.214287717212121,10.342136417350732,8.190272102183554,3.9324729886922225,18.393293209698008,19.395707796877268
2748,12.803835784525601,9.907527410360286,7.7667270044377,3.6480821805472243,18.381966989087434,19.388311525096302
2752,12.47203233555115,9.47546330861075,7.330235362169679,3.395567530840369,18.32515005353994,19.40137283197564
2756,12.216697286276933,9.048042396061046,6.892182848898706,3.1777742834112743,18.22311750158382,19.428250932911855
2760,12.034251025193152,8.629459186565231,6.4632943798961255,2.9963767263504453,18.078616754621212,19.46265911711164
2764,11.920219624305064,8.225900513161434,6.053234922295075,2.8517370260700217,17.89660451287178,19.499078980426376
2768,11.869690006731854,7.845201462671512,5.67042164771818,2.742801083606056,17.68377105323593,19.53299933662395
2772,11.877511858343857,7.496158057039299,5.321870668846043,2.6668815135340678,17.447719699872945,19.560838030064915
2776,11.93813679629848,7.187503734990713,5.012967794982761,2.619334096561696,17.19586936159352,19.579583273494098
2780,12.045272419433607,6.926826333171524,4.74729416448183,2.5934116432617813,16.934440967656418,19.58643697903479
2784,12.191661890703696,6.719779756509026,4.526710514587115,2.5806058506747203,16.667923581096236,19.578748867328297
2788,12.36911716579044,6.569701393287819,4.351687656594403,2.571478439510975,16.399128907041458,19.554268316245196
2792,12.568676001706196,6.477465253156482,4.221636542368485,2.556670959661895,16.12964350498184,19.511506248809972
2796,12.780738129469276,6.441403734992147,4.135039003019996,2.527794788415447,15.860461508315687,19.45002897063773
2800,12.995241154087086,6.4573561030435735,4.089436123006851,2.4781454562548513,15.592733553820137,19.37068282845658
2804,13.202044391282456,6.519003163162473,4.081454940069497,2.4032996818584196,15.328591971621178,19.275788186554053
2808,13.391530924591912,6.618474466211587,4.1069090321435535,2.3015184500326216,15.071841312307724,19.169199020901658
2812,13.555226745778905,6.7470124422627356,4.160842967692319,2.1737624345276734,14.828212542883874,19.05605233024744
2816,13.686264181345994,6.8955386463513415,4.237476937845254,2.0232813096825373,14.605081099316527,18.942203874219683
2820,13.779743771075712,7.055211917104159,4.3302461044876335,1.855029457887805,14.410864444380737,18.833594284380524
2824,13.833149055229182,7.218149125481726,4.432175824944947,1.6752324517391648,14.25439724941186,18.7358176024957
2828,13.846785116581227,7.378261954571478,4.536580871331322,1.4911872006680318,14.144377055967471,18.65394367860076
2832,13.8239798137466,7.531918028213126,4.637811961377592,1.3111197008617252,14.088780017646664,18.59244763297979
2836,13.77082159838745,7.678175405740389,4.73179857017281,1.1439425599200463,14.094211713264949,18.555138315570364
2840,13.695483303300241,7.818608600617504,4.81637117538056,0.9989616428843616,14.165351689349121,18.545139398425714
2844,13.607370323109583,7.956904068218565,4.891452710346386,0.8856490222620418,14.304660184780465,18.564991799660362
2848,13.516249292355612,8.098297856738219,4.959071850667309,0.8134270670233932,14.512294953938754,18.616774949837662
2852,13.431352794694382,8.248782402256206,5.023027767367131,0.7912621207606559,14.786026675638023,18.70203830074365
2856,13.360492193695237,8.414093003110274,5.088177517823088,0.8269936941103471,15.121061678282606,18.82147612754836
2860,13.309395545037015,8.598717460303714,5.1595909051438875,0.9265941069707565,15.509918860247648,18.974512500319573
2864,13.281511360323297,8.805228548605124,5.241874999229968,1.0936258988779353,15.942548502689442,19.159004312921162
2868,13.278258543506688,9.034005636079305,5.3387291713221705,1.3289578615963575,16.40668268383418,19.371093889071435
2872,13.299420298128092,9.283162138009459,5.452562406106652,1.6305973632908946,16.88824420673986,19.60511084901595
2876,13.343392931167319,9.548527231542618,5.584081653545076,1.993558423876682,17.371726600158734,19.8535193872323
2880,13.407269438584462,9.823762390914252,5.732023865677503,2.409901143701528,17.840661579973197,20.107084040868372
2884,13.486924227396702,10.100779441802286,5.893281401460336,2.869122848542111,18.278320413658196,20.355407645009794
2888,13.577181894530248,10.370434087249238,6.063436892047022,3.3588692924224164,18.668602986851067,20.587761290049965
2892,13.671990626356841,10.62325707995459,6.237466205966197,3.865740289232939,18.996917045030305,20.79395304350234
2896,13.764549735655471,10.850036590286363,6.410381676385769,4.376030955185122,19.25094029328423,20.965060996078776
2900,13.847516430584475,11.04228798543843,6.577778726122737,4.876442140372787,19.42133574034176,21.094033398876302
2904,13.913450374502862,11.192712161283685,6.7362994189466585,5.354798690293215,19.502470547574532,21.17616543421599
2908,13.955443116723202,11.29555998771432,6.883868621494887,5.800604115537944,19.49297602397698,21.20930558790122
2912,13.967676578337436,11.346673942026465,7.0194731552524114,6.205154024838686,19.395886297253252,21.193601788342026
2916,13.945731668996075,11.343131753990757,7.14246033563001,6.561152177559002,19.218284779966883,21.13081615255209
2920,13.886734732932565,11.282733273878915,7.251658893267818,6.8621178188039185,18.970665118816644,21.02350565713034
2924,13.789543832953479,11.16368036336826,7.344719427680761,7.101957251042769,18.666254731164614,20.87438195992868
2928,13.655000835155048,10.984583155213903,7.417852191538807,7.274833612268296,18.32033975752974,20.685934810273803
2932,13.486057063805706,10.74466800764608,7.465894485930732,7.375234765158025,17.949471676869592,20.460231288278425
2936,13.287612306825658,10.444059611867463,7.482635513430009,7.398174706534408,17.570533559437166,20.19887225444482
2940,13.066129700646227,10.084177890356697,7.461455545090026,7.339618834476776,17.199832847356944,19.90322477986194
2944,12.829187843085714,9.668306457088395,7.39628760329538,7.197171539988085,16.852370480206396,19.574981111454157
2948,12.584984028729526,9.20216880570322,7.282642659725712,6.970793915306693,16.541212185275604,19.216846191809843
2952,12.341646891710964,8.694179131668282,7.1182818457852965,6.663174908105989,16.27676781250218,18.833033637235363
2956,12.106313231891123,8.155178502248495,6.903324433495667,6.27959193462398,16.06596102869638,18.429423076886643
2960,11.884187307100962,7.597789635077399,6.639957898073325,5.827456529910992,15.911541416248118,18.0134923605788
2964,11.677905733369924,7.035662856006353,6.332064262583286,5.315859456933106,15.811819942027734,17.594177055759918
2968,11.487343627783211,6.48272519709635,5.984895259937973,4.7552348702389375,15.760874727242108,17.18162523826687
2972,11.309753745755451,5.952353817222773,5.604720436888887,4.157061599967305,15.749086628452451,16.786704589337095
2976,11.140114865700939,5.456453387434561,5.198414756317035,3.5335623317858795,15.763935553585098,16.42026423411392
2980,10.971726504887808,5.004631986779631,4.773130545035932,2.8975078547735316,15.791143327581306,16.092370676196417
2984,10.797121111816645,4.603714468642085,4.3361916421393465,2.2621832110328146,15.816180559171707,15.811729061490386
2988,10.609159416938107,4.257611710316935,3.895103839939272,1.6413310707124478,15.82587607568667,15.585275453268096
2992,10.401981265028251,3.967354835568954,3.4574071100237567,1.0487858163792831,15.809716312387883,15.41778687291519
2996,10.171577436198907,3.7311693655186864,3.030248634477112,0.49774071384892776,15.76060562099686,15.311481396037161
3000,9.916041486598534,3.544695103898789,2.6198631835382917,-8.467588304228224e-05,15.675167927854794,15.265778477338984
3004,9.635709694283978,3.4015227796864735,2.231240738261994,-0.435057288843124,15.553757158894193,15.277368911574158
3008,9.333251807281423,3.2940139119204557,1.8680540683990794,-0.7999552455035209,15.400176415034961,15.340517512324606
3012,9.013574731424542,3.2141553204649815,1.532704814140197,-1.09015800419566,15.220990543534755,15.44738705237685
3016,8.683439668028527,3.154243268195384,1.226390109342457,-1.3037946173644896,15.024465422548186,15.588300021302187
3020,8.350911019182513,3.1074067363713507,0.9492740559760381,-1.4417497297371225,14.819404037149152,15.752056271398837
3024,8.024832388852005,3.0680519333480696,0.7008562347791251,-1.5074238582787192,14.614160391360297,15.926418853820532
3028,7.714346084349856,3.032156278427809,0.4804190071857003,-1.506356764635358,14.415887587418103,16.098688983454263
3032,7.428295694538916,2.9972274198013107,0.2873028167827099,-1.445940479007892,14.22992223690408,16.256203718596606
3036,7.174440889635887,2.961899858902022,0.12091607345682384,-1.3352725844874413,14.059314978385713,16.386750325415413
3040,6.958667429585482,2.9254149324943786,-0.019347130418352017,-1.184936286031778,13.904698655908463,16.479088077252424
3044,6.784461443488453,2.8872780431906393,-0.1340683560529408,-1.0064847038191762,13.764641201511765,16.52371911427558
3048,6.652720991165436,2.847142164687098,-0.22366166040148258,-0.8116754585790513,13.636365046267295,16.51378519553391
3052,6.561755882360475,2.804732877630276,-0.28833220073272264,-0.6117158806230665,13.516538667712583,16.44579609514142
3056,6.507357243616004,2.7596851268819393,-0.3282434747762586,-0.41669009418058656,13.401953831959391,16.320002721404943
3060,6.483022013834535,2.7113921645590024,-0.3437613111348901,-0.23510903928823487,13.29011147303957,16.140440343379378
3064,6.480475233462869,2.6590345972513787,-0.33560655697326447,-0.07349165669187009,13.179750465369635,15.914707704168244
3068,6.490442916784842,2.6017705756585414,-0.3049619735757304,0.06391631282737749,13.071176566382839,15.65342525418604
